No,カテゴリ,サブカテゴリ,製品/技術名,提供元,概要,導入形態,地場適性,参考URL
30,B. 設計・積算,B-3. 自動設計,砂防堰堤自動設計,パシフィックコンサルタンツ,自動設計で数量が即時算出。設計しながら数量最適化。作業時間最大7割減,自社向け,△,https://xtech.nikkei.com/atcl/nxt/mag/ncr/18/00247/092500001/
31,C. 施工,C-1. ロボット・自動化施工,吹付コンクリート自動施工,安藤ハザマ×ニシオT&M,トンネル工事の吹付を自動化。熟練作業員不要で品質安定,大規模向け,△,https://www.ad-hzm.co.jp/info/2024/20241120.php
32,C. 施工,C-1. ロボット・自動化施工,耐火被覆吹付ロボット Robo-SprayII,清水建設,専門工事のロボット化。中期DX戦略(2024-2026)の成果,大規模向け,△,
33,C. 施工,C-1. ロボット・自動化施工,3Dプリンター×ロボットアーム,大林組,コンクリート構造物の自動積層施工,大規模向け,△,https://news.sharelab.jp/cases/construction/oobayashi-pca-221014/
34,C. 施工,C-2. 3Dスキャン・点群,LiDAR付iPad/iPhoneでの点群取得,Apple端末＋アプリ,スキャン→クリック指定で体積自動算出→設計値との自動合否判定。補修数量検収に直結,既存端末,◎,
35,C. 施工,C-2. 3Dスキャン・点群,3次元自動検測サービス,DataLabs,コンクリート構造物の補修工事向け。点群データから損傷マッピング・数量を自動算出,クラウド,○,https://prtimes.jp/main/html/rd/p/000000020.000083637.html
36,C. 施工,C-2. 3Dスキャン・点群,リアルタイム3Dスキャン,鹿島建設,施工中に設計モデルとの差異を常時監視。経年変化の把握にも活用可能,大規模向け,△,https://www.kajima.co.jp/news/press/202509/9c1-j.htm
37,C. 施工,C-2. 3Dスキャン・点群,3Dスキャナ×デジタルカルテ,淺沼組,構造物の耐震補強・修繕工事で点群データ活用。補修箇所・形状寸法をデジタル記録,機器＋ソフト,○,
38,C. 施工,C-3. AR遠隔支援,スマートグラス×AR遠隔臨場,各社,ベテラン技術者が遠隔から若手の補修現場を指導。国交省が「遠隔臨場」推進中,機器＋通信,○,
39,C. 施工,C-3. AR遠隔支援,スマホARで設備情報オーバーレイ,各社,現場でかざすと補修履歴・部材情報が表示,アプリ,○,
40,D. 新材料・新工法,新材料,自己治癒コンクリート,會澤高圧コンクリート,バクテリアがひび割れを自動修復。耐用年数100年（従来65年）。世界初量産技術確立。2025年3月鹿児島県で公共工事に適用,材料調達,○,https://xtech.nikkei.com/atcl/nxt/column/18/00107/00137/
41,D. 新材料・新工法,新材料,超速硬型UHPFRC（Stiff Crete）,大林組×UBE三菱セメント,3時間で交通開放強度到達。薄層で高耐久。維持管理コスト従来の約1/3。2024年に高速道路で通行止めなし大規模補修に国内初適用,材料＋施工,○,https://www.obayashi.co.jp/news/detail/news20240925_1.html
42,D. 新材料・新工法,新材料,UHPFRC床版リニューアル工法,鹿島建設×NEXCO中日本,現場打ちUHPFRCで橋梁床版の耐荷力・耐久性を向上。中央道で6年間2066m施工計画,大規模向け,△,https://www.kajima.co.jp/news/press/202408/30c1-j.htm
43,D. 新材料・新工法,防食工法,電気防食＋IoT遠隔監視,日本防蝕工業等,鉄筋コンクリートに通電して腐食を防止。遠隔監視・制御システムで電気防食状況を常時把握,工法＋機器,○,https://www.nitibo.co.jp/business/g01/g012/
44,D. 新材料・新工法,防食工法,電気化学的脱塩工法,各社,外部電流でコンクリート内部の塩分を除去。塩害補修の根本対策,工法,○,https://www.jci-net.or.jp/j/concrete/technology/202408_article_1.html
45,E. 管理・計画,デジタルツイン,デジタルツイン×AI補修計画最適化,NTTデータ等,センサー常時監視＋3Dモデルで劣化シミュレーション→最適な補修時期・優先順位をAI算出。さいたま市・八王子市で実証中,プラットフォーム,△,https://www.digital.go.jp/assets/contents/node/basic_page/field_ref_resources/9f4e70e2-2335-4181-8293-258c12549d31/a813afee/20240424_policies_mobility_report_02.pdf
46,E. 管理・計画,BIM/CIM,BIM/CIM連携の維持管理,国交省推進,i-Construction 2.0で2026年からBIM/CIM標準適用。設計→施工→維持管理のデータ一気通貫,ソフト＋運用,○,https://www.mlit.go.jp/tec/constplan/content/001738240.pdf
47,E. 管理・計画,IoT監視,IoTセンサー構造物常時監視,各社,構造物にセンサー設置し劣化・損傷を早期検知。最適な補修・改修時期をデータドリブンで判断,機器＋通信,○,
48,E. 管理・計画,経営DX,リアルタイム経営（AI×KPI分析）,後藤組（山形県米沢市）事例,業務データの見える化とAI分析。ベテランの勘に頼らないデータ判断を実現した地場建設会社の先行事例,自社構築,○,https://dx.ipa.go.jp/dx-case-construction
49,F. 制度・補助金,補助金,デジタル化・AI導入補助金（2026年度）,国（経産省等）,2026年3月30日受付開始。個人事業主も対象,—,—,
50,F. 制度・補助金,制度,NETIS登録技術活用の義務化,国交省,2020年度から直轄工事で原則義務。AI点検技術採用で工事成績評定加点,—,—,https://www.jcitc.or.jp/netis/aboutnetis/
51,F. 制度・補助金,政策,i-Construction 2.0,国交省,2040年までに省人化3割目標。自動施工の試行工事が2025年度から拡大。3Dモデル数量の直接積算利用を2026年から整備,—,—,https://www.mlit.go.jp/tec/constplan/content/001738240.pdf
52,F. 制度・補助金,制度,点検支援技術性能カタログ,国交省,点検支援技術を性能評価し掲載。カタログ掲載技術の採用は発注者への信頼性アピールに有効,—,—,
